;Kalimat;Sesuai;aspek_Budaya Green;aspek_Keselarasan Strategi;aspek_Metode;aspek_Pegawai;aspek_Tata Kelola;aspek_Teknologi Informasi;aspek_Transisi Energi;sentimen_negatif;sentimen_positif
0;Terdapat perjanjian iklim global yang dikenal sebagai Perjanjian Paris (Paris Agreement) yang dilaksanakan pada 12 Desember 2015;;0;0;0;0;0;0;1;0;1
1;digitalisasi bisa membantu memonitor secara online kinerja utama seperti THF, SFO, NTH. Jadi kita bisa memantau monitoring daily report;;0;0;0;0;0;1;0;0;1
2;Aku terbiasa tidak ngegunain AC di kantor dan cuman buka jendela;;1;0;0;0;0;0;0;0;1
3;Saya bisa mengakses banyak ilmu tentang tindakan ramah lingkungan;;0;0;0;1;0;0;0;0;1
4;Saya memahami pentingnya perilaku ramah lingkungan untuk menanggulangi pencemaran lingkungan;;1;0;0;0;0;0;0;0;1
5;Saya suka PLN sudah menerapkan strategi green.;1;0;1;0;0;0;0;0;0;1
6;Atasan saya selalu memastikan seluruh kegiatan pekerjaan tidak berdampak buruk bagi lingkungan;;1;0;0;0;0;0;0;0;1
7;Data-data mengenai emisi masih belum terintegrasi.;;0;0;0;0;0;1;0;1;0
8;PLN mentargetkan pembangunan pembangkit EBT untuk mendukung transisi energi ;1;0;0;0;0;0;0;1;0;1
9;Belum ada sistem pemantauan untuk memastikan pencapaian standar bisnis yang berkelanjutan.;;0;0;0;0;1;0;0;1;0
10;Panel surya yang terdiri dari sekumpulan sel surya yang umumnya terbuat dari bahan semikonduktor (kristal silikon) ;0;0;0;0;0;0;0;1;0;1
11;Panel surya yang terdiri atas kumpulan sel surya umumnya dibuat dari material semikonduktor (kristal silikon). ;1;0;0;0;0;0;0;1;0;1
12;Saya banyak mencari tahu terkait bagaimana implementasi PLTP;;1;0;0;0;0;0;0;0;1
13;Saya terlibat dalam uji coba co-firing biomassa kaliandra;1;0;0;0;0;0;0;1;0;1
14;PLN sudah cukup masif dalam penetrasi informasi mengenai transformasi green sampai pada level terbawah,;;0;0;1;0;0;0;0;0;1
15;Belum banyak informasi yang saya peroleh mengenai strategi green PLN.;1;0;1;0;0;0;0;0;1;0
16;Saya mengenal adanya strategi pengembangan EBT dari PLN;1;0;0;0;0;0;0;1;0;1
17;Perusahaan telah memiliki aplikasi berbasis informasi teknologi yang dapat menunjang pencapaian strategi green.;;0;0;0;0;0;1;0;0;1
18;Angin memaksa rotor turbin berputar, mengubah energi kinetik menjadi energi rotasi dengan menggerakkan poros yang terhubung ke generator, sehingga menghasilkan energi listrik melalui elektromagnetisme;;0;0;0;0;0;0;1;0;1
19;Pusdiklat menyelenggarakan webinar terkait solar photovoltaics;;0;0;0;0;0;0;1;0;1
20;Saya diberi tanggung jawab untuk melaksanakan bisnis green PLN di lingkup unit;1;0;0;0;0;1;0;0;0;1
21;Aksi berkelanjutan diatur dalam sistem perusahaan;;0;0;0;0;1;0;0;0;1
22;Saya mengarahkan untuk memasang alat penangkap debu batu bara dengan electrostatic precipitator (EP);;1;0;0;0;0;0;0;0;1
23;Kegiatan konstruksi di unit saya belum selalu mengacu pada strategi green PLN.;1;0;1;0;0;0;0;0;1;0
24;Dampak strategi green PLN terhadap aktivitas kerja dapat dipahami oleh masing-masing divisi.;1;0;1;0;0;0;0;0;0;1
25;Terdapat video-video yang berisikan informasi terkait dengan PLTMH;;0;0;0;0;0;0;1;0;1
26;Baterai yang digunakan dalam PLTS adalah baterai VLRA;0;0;0;0;0;0;0;1;0;1
27;Saya mendukung kebijakan yang terkait dengan aksi ramah lingkungan di perusahaan.;1;0;0;0;0;1;0;0;0;1
28;Cahaya berenergi besar bisa memengaruhi sifat kristal dari silikon.;1;0;0;0;0;0;0;1;0;1
29;PLN menargetkan tambahan pembangkit EBT yang beroperasi sebesar 10,6 GW pada 2025;;0;0;0;0;0;0;1;0;1
30;Saya ikut melakukan kajian-kajian implementasi Green yang dapat diterapkan di PLN;;1;0;0;0;0;0;0;0;1
31;Pentingnya melakukan analisis keberlanjutan perusahaan.;;0;0;1;0;0;0;0;0;1
32;Saya memahami adanya prosedur yang terkait dengan pendanaan luar negeri untuk membiayai pengembangan EBT PLN.;1;0;0;0;0;1;0;0;0;1
33;Saya dapat memberikan ide secara aktif untuk memajukan strategi green perusahaan;;0;0;0;1;0;0;0;0;1
34;Belum semua aktivitas green menjadi bagian dari pekerjaan saya.;1;0;0;0;0;1;0;0;1;0
35;Menurut saya masih ada ketidakjelasan metode kerja untuk mencapai target transisi energi.;;0;0;1;0;0;0;0;1;0
36;PLN berpartisipasi pada green financing.;;0;0;1;0;0;0;0;0;1
37;Target penambahan ekosistem kendaraan listrik merupakan bagian tak terpisahkan dari operasi bisnis PLN.;1;0;0;0;0;1;0;0;0;1
38;Saya mendukung upaya perusahaan dalam mengembangkan IT untuk mendukung strategi green.;;0;0;0;0;0;1;0;0;1
39;Atasan saya aktif melakukan internalisasi melalui COC terkait EBT;;1;0;0;0;0;0;0;0;1
40;Energi terbarukan misalnya adalah energi matahari;1;0;0;0;0;0;0;1;0;1
41;Sistem biorock memanfaatkan arus lemah sehingga mampu mempercepat pertumbuhan karang.;;0;0;1;0;0;0;0;0;1
42;Partisipasi PLN dalam strategi green tidak hanya untuk memenuhi tuntutan pasar global.;;0;1;0;0;0;0;0;1;0
43;Prosedur standar PLN mendukung bisnis yang berkelanjutan.;1;0;0;0;0;1;0;0;0;1
44;Berbagai informasi strategi green gampang untuk diakses;;0;0;0;1;0;0;0;0;1
45;Saya ikut serta dalam kegiatan inovasi pengelolaan limbah yang bernama waffler;;1;0;0;0;0;0;0;0;1
46;Aktivitas green PLN menjadi bagian dari pekerjaan saya.;1;0;0;0;0;1;0;0;0;1
47;Saya tidak hanya memastikan mereka belajar EBT namun juga mengembangkan kajian-kajian teknologi ramah lingkungan lain yang dapat diterapkan di PLN;;1;0;0;0;0;0;0;0;1
